id,created_at,name,address,latitude,longitude,accept_holidays,average_cost,average_rating,has_wifi,chairs,city_id,neighborhood_id,kind_id,cuisine_id,category_id,moment_id,offer_id
8,2012-07-11 12:58:40,Tanger,"Rua Harmonia, 359",-23.5547523,-46.6885681,0,70,4,0,2,10,181,2,12,6,2,2
10,2012-07-11 12:58:40,Restaurante Bolinha,"Av. Cidade Jardim, 53",-23.5786476,-46.6814804,0,175,4,0,8,10,17,1,4,1,2,1
12,2012-07-11 12:58:41,Farabbud,"Alameda dos Anapurus, 1253",-23.609879,-46.6603031,0,120,4,0,4,10,121,2,3,1,2,3
13,2012-07-11 12:58:41,North Vila Nova,"Rua Jacques Félix, 365",-23.5914688,-46.671093,0,90,5,0,1,10,200,2,33,6,2,10620
14,2012-07-11 12:58:41,Brasiliani,"Rua Marco Aurélio, 102",-23.5280533,-46.6995697,0,60,4,0,4,10,125,2,35,6,2,10621
15,2012-07-11 12:58:42,Mestiço,"Rua Fernando de Albuquerque, 277",-23.5531921,-46.658844,0,110,4,0,2,10,85,2,9,1,2,5037
16,2012-07-11 12:58:42,Weinstube,"Rua José Guerra, 130",-23.6280117,-46.7077522,0,80,5,0,4,10,242,2,2,6,2,10622
17,2012-07-11 12:58:42,Le Bistrot Marcel,"Rua Hans Oersted, 119",-23.6089268,-46.6954231,0,95,4,0,6,10,129,1,25,1,2,4674
18,2012-07-11 12:58:42,Torero Valese,"Avenida Horácio Lafer, 638",-23.5882359,-46.6855202,0,80,4,0,1,10,133,2,38,1,2,4
19,2012-07-11 12:58:43,Mabella e Ton Ton Steakhouse,"Rua Jerônimo da Veiga, 153",-23.5814438,-46.6804428,0,80,5,0,1,10,133,2,33,6,2,10629
20,2012-07-11 12:58:43,Gigetto,"Rua Treze de Maio, 686",-23.5592804,-46.6465683,0,30,4,0,4,10,204,2,35,6,2,10627
21,2012-07-11 12:58:43,Otto Bistrot,"Rua Pedro Taques, 129",-23.5526009,-46.6564598,0,45,5,0,4,10,85,2,9,6,2,10628
22,2012-07-11 12:58:43,D'Olivino,"Rua Haddock Lobo, 1159",-23.5617638,-46.6654358,0,30,4,0,2,10,17,2,35,6,2,10626
24,2012-07-11 12:58:44,Philippe Bistrô,"Rua Normandia, 103",-23.6083012,-46.6710014,0,80,4,0,4,10,121,2,25,1,2,5
25,2012-07-11 12:58:44,Giardino,"Avenida Lavandisca, 437",-23.6015701,-46.6655731,0,60,4,0,4,10,121,2,35,1,2,6
26,2012-07-11 12:58:44,Rincón de Buenos Aires,"Rua Santa Justina, 99",-23.5947628,-46.6739845,0,80,5,0,1,10,246,2,33,6,2,10541
28,2012-07-11 12:58:45,Poivre,"Rua Santa Justina, 48",-23.5943451,-46.673645,1,80,4,0,4,10,246,2,25,6,2,3850
29,2012-07-11 12:58:45,Picchi Ristorante,"Rua Eduardo de Souza Aranha, 318",-23.588562,-46.6746864,0,75,5,0,10,10,133,1,35,1,2,7088
30,2012-07-11 12:58:45,Ladrillo Parrilla,"Avenida Pavão, 454",-23.6044216,-46.6711197,0,110,4,0,6,10,121,1,33,1,2,7
31,2012-07-11 12:58:46,Rosmarino,"Rua Henrique Monteiro, 44",-23.5688114,-46.6892548,0,80,4,0,10,10,244,1,35,1,2,8
32,2012-07-11 12:58:46,Spazio Gastronômico - Itaim,"Rua Horácio Lafer, 533",-23.5882034,-46.6844788,0,70,4,0,1,10,133,2,35,1,2,13
34,2012-07-11 12:58:46,Bistrot de Paris,"Rua Augusta, 2542",-23.5631332,-46.6661034,0,70,4,0,6,10,17,1,25,1,2,11
35,2012-07-11 12:58:46,Chez Fabrice,"Rua Mourato Coelho, 1140",-23.557991,-46.691227,0,75,5,0,4,10,244,2,25,6,2,10638
39,2012-07-11 12:58:47,Ça-Va Restaurante,"Rua Carlos Comenale, 277",-23.5604401,-46.6562309,0,80,4,0,4,10,95,2,25,1,2,14
41,2012-07-11 12:58:48,Mamarana,"Rua Pará, 196",-23.5488091,-46.6596146,0,65,4,0,4,10,115,2,35,6,2,10647
